equipment_id,equipment_type,mine_id,engine_hours,vibration_rms,oil_temp_C,hydraulic_pressure_bar,tyre_pressure_psi,last_service_days,rul_days,label
HEMM066,120T Dumper,Bhubaneswari OC,2456,1.76,103.8,288.0,73.6,155,1,3
HEMM067,Drill Rig,Rajmahal OC,2894,4.59,73.5,161.9,104.9,24,110,0
HEMM068,Drill Rig,Gevra OC,5936,4.91,104.6,155.6,78.4,45,84,0
HEMM069,Shovel,Adriyala Shaft,1671,4.08,75.7,136.3,108.6,47,96,0
HEMM070,240T Dumper,Moonidih,2163,1.99,96.6,188.4,113.8,171,1,3
HEMM071,Dragline,Adriyala Shaft,7644,-1.25,91.9,107.1,84.0,20,132,0
HEMM072,Shovel,Jayant OC,3894,1.08,95.2,217.6,103.4,164,1,3
HEMM073,Dragline,Bhubaneswari OC,3322,1.83,102.6,202.8,103.9,65,96,0
HEMM074,120T Dumper,Bhubaneswari OC,4171,4.27,84.0,203.0,86.9,113,1,3
HEMM075,Drill Rig,Bhubaneswari OC,6920,2.37,98.8,221.6,82.6,46,80,0
HEMM076,120T Dumper,Jhanjra UG,835,3.93,88.9,196.0,97.6,46,111,0
HEMM077,240T Dumper,Moonidih,7512,2.12,80.7,181.2,73.0,134,1,3
HEMM078,120T Dumper,Jayant OC,5855,1.02,88.2,209.2,125.8,52,92,0
HEMM079,240T Dumper,Gevra OC,7644,2.54,96.6,120.4,121.3,87,41,1
HEMM080,Drill Rig,Adriyala Shaft,7427,0.86,113.4,232.5,87.6,12,111,0
HEMM081,120T Dumper,Rajmahal OC,1082,2.92,77.9,170.6,85.0,139,1,3
HEMM082,120T Dumper,Adriyala Shaft,1067,3.28,84.2,214.5,89.3,100,50,1
HEMM083,Dozer,Bhubaneswari OC,2003,4.52,101.1,183.1,88.4,18,128,0
HEMM084,240T Dumper,Bhubaneswari OC,1034,1.69,83.8,148.4,117.2,65,87,0
HEMM085,Shovel,Kenduadih,2857,4.34,87.3,164.8,63.9,178,1,3
HEMM086,Drill Rig,Gevra OC,7175,3.05,87.2,190.3,132.9,115,7,3
HEMM087,Dragline,Rajmahal OC,5447,2.43,72.3,198.6,97.6,6,122,0
HEMM088,Dragline,Adriyala Shaft,6244,0.79,79.9,209.7,107.2,128,12,2
HEMM089,Dragline,Adriyala Shaft,1442,1.28,105.1,203.6,124.0,114,35,1
HEMM090,240T Dumper,Gevra OC,5472,1.43,91.0,191.7,104.0,74,55,1
HEMM091,Shovel,Adriyala Shaft,7138,2.38,76.3,202.7,104.8,171,1,3
HEMM092,Drill Rig,Adriyala Shaft,5181,2.34,102.7,173.9,108.6,17,134,0
HEMM093,120T Dumper,Churcha RO,1776,6.03,105.0,214.4,97.1,45,66,0
HEMM094,Drill Rig,Adriyala Shaft,4356,1.26,111.3,222.7,91.0,63,94,0
HEMM095,Dragline,Jhanjra UG,5163,2.51,102.3,159.6,106.8,70,70,0
HEMM096,Drill Rig,Jayant OC,3294,1.45,98.0,228.1,75.6,40,109,0
HEMM097,120T Dumper,Moonidih,6441,0.77,110.0,203.8,66.2,153,1,3
HEMM098,Dragline,Bhatdih,3316,2.15,73.9,207.5,85.5,19,143,0
HEMM099,Drill Rig,Jhanjra UG,6056,1.82,91.7,201.8,102.2,129,1,3
HEMM100,240T Dumper,Jayant OC,7902,1.35,70.5,230.4,90.4,151,1,3
HEMM101,Shovel,Jayant OC,7449,5.13,98.2,171.0,112.8,50,62,0
HEMM102,Drill Rig,Gevra OC,4374,-0.5,84.6,158.8,96.5,99,58,1
HEMM103,Dragline,Adriyala Shaft,2185,-0.18,94.7,169.7,118.0,8,155,0
HEMM104,120T Dumper,Kenduadih,3931,0.87,98.0,194.2,100.3,170,1,3
HEMM105,120T Dumper,Moonidih,1156,2.73,68.6,226.2,92.5,151,1,3
HEMM106,Drill Rig,Jayant OC,1558,2.42,95.5,179.9,87.3,169,1,3
HEMM107,Dragline,Kenduadih,2722,2.3,65.1,253.8,86.1,28,116,0
HEMM108,Drill Rig,Jhanjra UG,2403,0.93,89.7,130.8,89.7,44,119,0
HEMM109,Shovel,Moonidih,993,4.18,99.8,156.8,96.6,111,29,2
HEMM110,120T Dumper,Jhanjra UG,1822,3.52,72.3,203.0,114.9,55,100,0
HEMM111,240T Dumper,Adriyala Shaft,683,2.5,62.7,230.6,140.0,105,29,2
HEMM112,120T Dumper,Jhanjra UG,853,3.46,86.1,228.2,97.7,150,1,3
HEMM113,240T Dumper,Bhubaneswari OC,4174,2.24,83.9,246.4,109.4,2,137,0
HEMM114,Drill Rig,Churcha RO,1929,0.68,88.2,199.5,64.8,69,72,0
HEMM115,Shovel,Bhubaneswari OC,6400,1.84,103.6,156.6,122.9,81,59,1
HEMM116,Drill Rig,Jayant OC,3300,-0.11,58.7,147.7,119.0,1,157,0
HEMM117,120T Dumper,Jayant OC,6141,3.9,60.7,215.2,101.2,136,1,3
HEMM118,240T Dumper,Gevra OC,3902,4.33,73.8,170.2,84.7,49,87,0
HEMM119,Drill Rig,Gevra OC,336,0.87,67.3,248.1,95.4,174,1,3
HEMM120,Shovel,Kenduadih,6704,3.06,103.8,215.5,131.5,169,1,3
HEMM121,240T Dumper,Churcha RO,6215,1.27,103.6,185.7,70.6,147,1,3
HEMM122,120T Dumper,Jhanjra UG,4279,0.64,93.7,175.7,91.2,120,13,2
HEMM123,Shovel,Bhubaneswari OC,1147,1.01,92.1,200.8,109.2,169,1,3
HEMM124,Shovel,Moonidih,1512,1.96,102.0,188.5,90.9,66,90,0
HEMM125,120T Dumper,Bhubaneswari OC,7994,2.99,85.4,224.4,114.0,126,3,3
HEMM126,Shovel,Kenduadih,6477,3.49,94.9,194.9,81.8,98,40,1
HEMM127,120T Dumper,Rajmahal OC,7213,1.69,94.2,198.6,112.4,29,120,0
HEMM128,Dragline,Churcha RO,4892,3.55,70.2,243.4,118.9,1,136,0
HEMM129,120T Dumper,Moonidih,5033,0.23,83.6,226.1,98.3,94,61,0
HEMM130,Dragline,Rajmahal OC,5637,-0.17,81.5,187.3,85.2,118,35,1
HEMM131,Shovel,Jhanjra UG,6885,4.64,80.0,166.9,100.0,154,1,3
HEMM132,Drill Rig,Moonidih,5106,4.45,82.4,232.1,95.5,147,1,3
HEMM133,Shovel,Adriyala Shaft,4255,1.69,127.8,251.0,109.9,40,102,0
HEMM134,Dragline,Adriyala Shaft,5937,1.77,87.0,132.3,104.8,101,13,2
HEMM135,Dragline,Jhanjra UG,376,1.46,86.0,160.0,58.9,101,47,1
HEMM136,Dozer,Bhatdih,5904,3.43,110.6,178.3,93.5,83,37,1
HEMM137,120T Dumper,Moonidih,7161,3.44,84.9,177.8,83.7,114,1,3
HEMM138,240T Dumper,Adriyala Shaft,1986,1.56,93.3,181.3,91.7,148,1,3
HEMM139,240T Dumper,Jhanjra UG,3284,3.71,85.1,237.3,71.3,25,109,0
HEMM140,120T Dumper,Churcha RO,4422,3.57,78.2,167.4,120.7,104,24,2
HEMM141,Shovel,Moonidih,1173,2.58,107.3,171.7,65.5,168,1,3
HEMM142,Dragline,Churcha RO,6571,0.43,63.0,212.5,84.3,114,38,1
HEMM143,Dozer,Moonidih,1183,2.96,95.1,158.6,74.5,58,103,0
HEMM144,Shovel,Bhubaneswari OC,2442,2.73,87.7,187.5,87.7,166,1,3
HEMM145,240T Dumper,Jayant OC,2644,2.01,87.0,260.5,112.8,138,11,2
HEMM146,Dozer,Jayant OC,4755,4.52,100.8,152.2,94.6,150,1,3
HEMM147,Drill Rig,Churcha RO,6372,2.56,51.1,215.2,94.3,154,1,3
HEMM148,240T Dumper,Gevra OC,1207,2.38,109.0,209.6,96.3,66,78,0
HEMM149,Dozer,Churcha RO,1221,1.36,89.4,169.8,95.7,169,1,3
HEMM150,Dozer,Bhatdih,5599,2.5,82.0,196.5,87.0,91,42,1
HEMM151,120T Dumper,Rajmahal OC,4382,2.64,96.6,209.4,90.0,49,101,0
HEMM152,240T Dumper,Jhanjra UG,5132,4.34,71.0,187.1,95.8,109,31,1
HEMM153,120T Dumper,Rajmahal OC,2288,2.38,111.7,217.2,114.2,66,67,0
HEMM154,Shovel,Rajmahal OC,1869,-0.05,112.0,220.9,123.2,50,110,0
HEMM155,Drill Rig,Gevra OC,4817,1.28,66.8,175.3,90.4,40,104,0
HEMM156,240T Dumper,Moonidih,5144,4.43,90.2,223.8,77.7,105,12,2
HEMM157,120T Dumper,Gevra OC,5444,4.73,107.4,203.0,91.7,58,59,1
HEMM158,Dozer,Jayant OC,7997,3.04,117.0,241.9,110.9,79,49,1
HEMM159,Dragline,Bhubaneswari OC,982,0.67,85.8,225.2,85.8,156,1,3
HEMM160,Drill Rig,Jayant OC,1680,2.72,76.1,240.8,118.1,153,1,3
HEMM161,Dragline,Bhubaneswari OC,5052,2.62,91.5,182.6,99.3,33,113,0
HEMM162,Drill Rig,Moonidih,7723,3.71,83.7,119.7,97.0,156,1,3
HEMM163,120T Dumper,Bhubaneswari OC,1699,1.46,95.2,175.8,102.4,110,24,2
HEMM164,Shovel,Bhatdih,5407,2.25,112.8,143.3,89.2,24,116,0
HEMM165,240T Dumper,Churcha RO,828,2.14,54.2,205.2,104.4,74,76,0
HEMM166,Dozer,Jayant OC,5746,2.03,65.7,197.3,82.1,174,1,3
HEMM167,120T Dumper,Churcha RO,3521,3.28,90.8,201.8,98.4,109,19,2
HEMM168,120T Dumper,Rajmahal OC,5803,0.59,74.1,174.0,121.9,135,2,3
HEMM169,240T Dumper,Jhanjra UG,815,2.07,96.0,194.1,103.9,127,14,2
HEMM170,Dragline,Gevra OC,7687,3.3,77.8,148.9,117.5,75,31,1
HEMM171,Dozer,Bhubaneswari OC,2604,2.49,91.0,179.6,89.0,79,88,0
HEMM172,Drill Rig,Moonidih,7862,1.19,69.8,209.6,86.0,158,1,3
HEMM173,120T Dumper,Gevra OC,2644,2.43,91.2,214.9,93.9,91,63,0
HEMM174,Shovel,Churcha RO,4534,2.57,81.4,198.4,112.4,40,110,0
HEMM175,Drill Rig,Bhatdih,2052,1.36,92.7,158.3,123.8,138,11,2
HEMM176,240T Dumper,Bhubaneswari OC,1525,1.97,105.9,238.3,131.1,51,101,0
HEMM177,Shovel,Adriyala Shaft,2533,3.66,93.8,197.5,67.8,42,86,0
HEMM178,Drill Rig,Bhatdih,1173,-0.03,73.3,218.0,107.3,84,69,0
HEMM179,Dragline,Rajmahal OC,6147,4.55,76.7,188.9,104.7,28,99,0
HEMM180,Shovel,Rajmahal OC,311,1.9,91.2,178.1,94.0,153,1,3
HEMM181,120T Dumper,Moonidih,3758,1.53,91.5,227.6,107.9,159,1,3
HEMM182,120T Dumper,Bhatdih,6481,3.67,98.8,215.5,93.3,110,1,3
HEMM183,Shovel,Bhubaneswari OC,5987,2.61,83.2,194.9,79.5,49,99,0
HEMM184,Drill Rig,Jhanjra UG,2079,2.42,101.0,220.9,98.5,38,117,0
HEMM185,Dragline,Moonidih,5250,3.25,118.5,173.3,112.5,180,1,3
HEMM186,Dragline,Jayant OC,4125,1.85,104.7,211.9,106.9,94,45,1
HEMM187,Dragline,Gevra OC,6029,1.58,96.5,208.3,101.3,14,123,0
HEMM188,Dragline,Bhubaneswari OC,2495,1.61,95.8,192.5,114.5,94,76,0
HEMM189,Shovel,Bhatdih,1113,2.66,91.4,143.4,90.5,85,52,1
HEMM190,240T Dumper,Kenduadih,4532,4.18,81.2,186.5,96.8,23,124,0
HEMM191,Drill Rig,Jhanjra UG,5357,2.47,82.4,143.4,82.9,168,1,3
HEMM192,Dozer,Churcha RO,813,1.78,109.5,185.1,94.6,52,113,0
HEMM193,Drill Rig,Jhanjra UG,558,3.37,101.2,184.9,69.3,144,15,2
HEMM194,120T Dumper,Churcha RO,7661,2.1,74.1,213.5,63.4,6,127,0
HEMM195,Drill Rig,Kenduadih,2445,2.29,82.6,237.2,105.5,178,1,3
HEMM196,Drill Rig,Rajmahal OC,7329,4.55,84.1,199.0,83.5,144,1,3
HEMM197,Dozer,Jayant OC,5174,2.4,99.5,211.3,108.9,179,1,3
HEMM198,Dozer,Bhubaneswari OC,4327,2.65,85.2,164.7,96.5,69,76,0
HEMM199,240T Dumper,Churcha RO,1601,2.74,108.3,188.9,120.7,72,79,0
HEMM200,Dragline,Adriyala Shaft,6945,2.08,91.9,214.4,87.4,95,21,2
HEMM201,Shovel,Churcha RO,7953,2.08,71.8,194.6,84.9,157,1,3
HEMM202,Dozer,Moonidih,6949,5.85,75.1,238.3,97.9,5,120,0
HEMM203,Drill Rig,Kenduadih,1071,2.19,67.4,221.8,96.1,161,1,3
HEMM204,Drill Rig,Adriyala Shaft,2856,1.37,87.7,239.3,108.9,40,99,0
HEMM205,120T Dumper,Adriyala Shaft,6178,2.33,75.8,210.9,96.2,47,72,0
HEMM206,120T Dumper,Adriyala Shaft,4866,3.06,65.8,202.9,98.1,42,97,0
HEMM207,Dozer,Jayant OC,5830,2.15,86.4,220.2,104.9,166,1,3
HEMM208,240T Dumper,Jhanjra UG,6153,2.4,90.0,195.4,112.0,29,112,0
HEMM209,240T Dumper,Moonidih,1282,2.51,96.3,226.3,116.5,4,152,0
HEMM210,Drill Rig,Rajmahal OC,6230,2.34,102.2,146.6,107.1,145,1,3
HEMM211,240T Dumper,Jhanjra UG,2718,2.16,97.6,243.2,107.9,161,1,3
HEMM212,240T Dumper,Churcha RO,4661,2.43,84.8,234.4,104.3,58,77,0
HEMM213,240T Dumper,Adriyala Shaft,3699,1.66,99.2,184.5,133.0,176,1,3
HEMM214,Dozer,Bhubaneswari OC,1589,4.15,100.7,198.8,111.8,20,120,0
HEMM215,Dozer,Gevra OC,1169,0.75,116.2,207.7,102.3,39,126,0
HEMM216,Dragline,Jhanjra UG,5765,3.83,61.7,228.7,91.9,74,43,1
HEMM217,120T Dumper,Churcha RO,2420,4.03,78.9,249.9,88.8,20,129,0
HEMM218,240T Dumper,Jhanjra UG,2823,0.18,99.8,226.1,111.9,18,117,0
HEMM219,Drill Rig,Kenduadih,3701,3.44,87.0,282.0,126.2,47,92,0
HEMM220,120T Dumper,Jayant OC,4142,1.39,84.6,170.9,103.6,168,1,3
HEMM221,Drill Rig,Jayant OC,3629,1.08,84.3,162.9,100.9,59,83,0
HEMM222,240T Dumper,Rajmahal OC,4933,3.55,94.6,146.0,101.2,93,37,1
HEMM223,120T Dumper,Adriyala Shaft,7168,4.03,92.1,265.2,91.1,16,115,0
HEMM224,120T Dumper,Bhatdih,3971,1.9,108.1,246.2,132.6,63,73,0
HEMM225,240T Dumper,Adriyala Shaft,657,2.49,82.5,194.4,92.1,7,150,0
HEMM226,Dragline,Churcha RO,5629,1.31,75.1,183.2,92.7,38,105,0
HEMM227,Dozer,Jhanjra UG,847,2.51,92.4,215.2,86.4,47,101,0
HEMM228,240T Dumper,Bhatdih,4051,2.62,78.4,214.4,104.5,74,51,1
HEMM229,Drill Rig,Jhanjra UG,691,2.73,87.4,200.3,82.3,3,147,0
HEMM230,120T Dumper,Rajmahal OC,6027,3.26,106.1,140.9,76.4,109,11,2
HEMM231,Shovel,Bhatdih,953,-0.78,84.4,214.6,107.3,159,14,2
HEMM232,Drill Rig,Rajmahal OC,5156,2.91,105.1,153.7,87.3,165,1,3
HEMM233,Dragline,Jayant OC,1550,3.59,94.9,178.9,105.5,27,131,0
HEMM234,120T Dumper,Moonidih,2162,3.27,86.2,236.7,118.5,80,67,0
HEMM235,Drill Rig,Rajmahal OC,1852,2.3,87.1,190.1,140.8,145,26,2
HEMM236,Drill Rig,Moonidih,593,3.48,75.8,266.1,114.1,73,77,0
HEMM237,Shovel,Rajmahal OC,1796,2.03,103.7,190.2,106.2,173,1,3
HEMM238,Dozer,Rajmahal OC,1027,3.2,64.1,199.3,126.5,123,27,2
HEMM239,Shovel,Moonidih,2576,3.46,109.3,237.0,110.0,60,90,0
HEMM240,Shovel,Jhanjra UG,6498,1.05,80.7,106.8,53.2,156,1,3
HEMM241,Shovel,Rajmahal OC,7820,2.65,73.8,216.9,109.1,160,1,3
HEMM242,Drill Rig,Jayant OC,2158,1.5,95.3,239.8,107.7,161,1,3
HEMM243,120T Dumper,Churcha RO,6792,4.54,92.4,178.0,128.1,23,86,0
HEMM244,Dragline,Bhatdih,1522,2.51,107.9,216.3,96.5,118,26,2
HEMM245,Dragline,Bhubaneswari OC,2297,2.61,73.9,263.2,83.7,146,1,3
HEMM246,Dragline,Jayant OC,3550,2.58,110.8,147.6,109.9,160,1,3
HEMM247,240T Dumper,Gevra OC,883,1.91,73.8,195.1,130.5,175,1,3
HEMM248,Dozer,Adriyala Shaft,5932,3.38,90.8,196.6,107.5,41,82,0
HEMM249,Drill Rig,Jayant OC,7194,3.57,96.6,187.1,101.6,120,1,3
HEMM250,120T Dumper,Churcha RO,903,2.79,93.0,213.0,114.6,111,32,1
HEMM251,Dozer,Jayant OC,2892,3.51,95.4,183.6,93.7,122,18,2
HEMM252,Drill Rig,Jhanjra UG,7970,3.37,68.9,208.0,98.4,154,1,3
HEMM253,Shovel,Moonidih,7871,3.26,65.3,220.6,98.6,55,88,0
HEMM254,Dragline,Jayant OC,2410,0.31,89.9,218.7,107.5,21,149,0
HEMM255,Dragline,Bhubaneswari OC,7337,1.77,95.0,215.0,94.0,14,139,0
HEMM256,Shovel,Bhatdih,1547,3.92,101.4,267.9,81.5,42,101,0
HEMM257,Dozer,Jayant OC,3105,3.83,79.8,217.0,82.7,153,1,3
HEMM258,240T Dumper,Kenduadih,1384,4.32,70.4,278.7,122.9,82,54,1
HEMM259,240T Dumper,Jhanjra UG,7544,1.84,92.2,209.7,94.5,173,1,3
HEMM260,240T Dumper,Bhubaneswari OC,7927,3.31,93.9,186.5,62.4,25,106,0
HEMM261,120T Dumper,Adriyala Shaft,6308,3.74,87.9,182.7,97.4,97,25,2
HEMM262,Shovel,Kenduadih,317,3.3,80.2,220.8,95.9,32,131,0
HEMM263,240T Dumper,Bhubaneswari OC,5515,3.74,89.9,166.4,122.6,110,1,3
HEMM264,Dragline,Jhanjra UG,3958,2.2,81.6,208.1,84.5,98,35,1
HEMM265,Shovel,Jayant OC,5394,2.15,110.4,252.7,86.6,23,115,0
HEMM266,240T Dumper,Moonidih,5248,1.97,96.4,194.2,100.0,140,1,3
HEMM267,240T Dumper,Bhubaneswari OC,4323,2.23,88.1,192.2,115.2,58,86,0
HEMM268,Shovel,Adriyala Shaft,7215,1.0,82.4,202.9,132.5,106,23,2
HEMM269,Drill Rig,Jayant OC,262,4.45,80.3,176.3,99.4,169,1,3
HEMM270,Dozer,Adriyala Shaft,234,4.78,102.6,181.8,108.6,96,40,1
HEMM271,240T Dumper,Kenduadih,2800,0.95,122.6,222.3,99.5,101,48,1
HEMM272,Dozer,Kenduadih,3715,4.11,104.7,230.9,109.2,82,44,1
HEMM273,Shovel,Jhanjra UG,3783,2.73,113.4,210.6,105.4,148,1,3
HEMM274,240T Dumper,Bhatdih,7059,0.24,55.4,176.1,101.9,112,36,1
HEMM275,Drill Rig,Kenduadih,1453,4.35,94.1,210.7,97.1,98,53,1
HEMM276,Shovel,Gevra OC,1728,2.81,92.1,264.0,94.6,63,96,0
HEMM277,240T Dumper,Jayant OC,6511,2.47,94.9,214.5,104.2,6,121,0
HEMM278,240T Dumper,Churcha RO,3961,1.29,96.9,193.2,107.3,47,107,0
HEMM279,Shovel,Churcha RO,4248,3.98,62.6,203.6,106.7,6,126,0
HEMM280,120T Dumper,Churcha RO,1922,3.21,84.4,173.1,87.2,42,126,0
HEMM281,Drill Rig,Bhatdih,283,3.95,77.5,160.0,78.4,31,153,0
HEMM282,Dozer,Kenduadih,5115,1.92,81.6,194.9,98.2,50,69,0
HEMM283,120T Dumper,Moonidih,4590,3.92,92.6,234.7,124.6,30,104,0
HEMM284,Dragline,Adriyala Shaft,883,2.33,85.0,129.6,98.1,24,146,0
HEMM285,120T Dumper,Rajmahal OC,5540,1.95,113.8,164.0,100.5,103,32,1
HEMM286,Shovel,Bhatdih,3418,2.07,111.3,232.1,92.3,53,86,0
HEMM287,120T Dumper,Bhubaneswari OC,3750,3.43,79.4,199.0,72.4,160,1,3
HEMM288,Dozer,Kenduadih,3091,3.24,75.1,230.2,108.3,9,141,0
HEMM289,120T Dumper,Bhatdih,5007,1.12,101.0,252.7,74.4,136,1,3
HEMM290,120T Dumper,Gevra OC,3717,2.74,93.6,172.7,119.7,96,46,1
HEMM291,Dozer,Gevra OC,1201,4.33,91.4,195.7,89.8,146,1,3
HEMM292,Shovel,Churcha RO,3358,0.03,87.8,220.3,103.9,156,5,3
HEMM293,Drill Rig,Churcha RO,4901,3.48,80.2,201.0,86.9,82,50,1
HEMM294,Dozer,Bhubaneswari OC,583,2.86,105.7,198.1,106.5,84,67,0
HEMM295,Drill Rig,Jayant OC,2136,1.63,84.3,163.4,76.8,2,165,0
HEMM296,240T Dumper,Moonidih,7538,1.98,72.0,192.3,98.6,121,8,2
HEMM297,Dragline,Jayant OC,6124,2.17,102.4,193.1,105.0,81,45,1
HEMM298,240T Dumper,Bhubaneswari OC,4241,2.51,112.8,136.2,110.5,159,1,3
HEMM299,240T Dumper,Moonidih,2035,2.67,90.6,220.9,108.1,177,1,3
HEMM300,240T Dumper,Adriyala Shaft,6131,1.65,101.8,183.4,137.1,177,1,3
