mine_id,timestamp,CH4_pct,CO_ppm,C2H4_ppm,C2H6_ppm,CO2_pct,O2_pct,temp_C,humidity_pct,dust_mgm3,label
Churcha RO,2026-09-04T03:44:00,0.061,0,0.17,0.02,0.3,19.66,34.7,69.3,2.52,0
Bhatdih,2026-09-07T15:06:00,0.42,3.6,1.12,1.59,0.419,20.05,24.5,69.2,0.77,2
Jayant OC,2026-09-09T15:29:00,0.295,13.5,0.4,1.1,0.262,19.75,30.6,72.7,1.36,1
Jayant OC,2026-09-06T00:31:00,0.392,3.2,0.4,1.07,0.474,20.34,21.7,70.1,0.42,1
Gevra OC,2026-09-04T02:15:00,0.205,9.1,0.69,0.91,0.313,21,23.8,64.8,1.61,1
Jayant OC,2026-09-06T15:35:00,0.048,8.5,0.34,0.26,0.223,20.55,30.4,68.9,1.26,0
Rajmahal OC,2026-09-06T03:47:00,0.18,0.5,1.34,0.45,0.371,20.09,29.0,66.9,2.77,1
Rajmahal OC,2026-09-05T07:23:00,0.519,6.1,0.68,1.41,0.378,21,28.3,51.5,3.0,1
Jhanjra UG,2026-09-08T03:55:00,0.265,6.0,0.95,0.89,0.422,20.89,29.1,78.4,1.11,1
Moonidih,2026-09-01T04:09:00,0.149,6.0,0.32,0.89,0.626,20.88,20.6,67.6,1.25,0
Kenduadih,2026-09-07T14:58:00,0.334,9.6,0.46,0.81,0.528,19.92,30.7,52.3,0.56,1
Bhubaneswari OC,2026-09-02T05:15:00,0.241,13.1,0.15,1.02,0.636,20.97,33.5,74.9,1.06,1
Jhanjra UG,2026-09-08T02:43:00,0.217,5.8,0.44,0.29,0.483,20.37,28.2,63.1,2.13,1
Adriyala Shaft,2026-09-02T01:10:00,0.535,4.8,0.19,0.38,0.496,20.29,22.4,61.0,2.76,1
Bhatdih,2026-09-09T15:28:00,0.147,1.8,0.19,1.18,0.349,20.08,28.7,58.5,1.87,0
Churcha RO,2026-09-05T18:02:00,0.043,3.2,0.46,0.26,0.471,20.56,24.4,47.4,1.36,0
Jhanjra UG,2026-09-06T13:21:00,0.284,2.3,0.58,1.02,0.368,19.89,25.1,60.6,1.52,1
Gevra OC,2026-09-06T03:49:00,0.158,1.1,0.28,1.34,0.343,21,30.0,53.4,0.83,0
Jayant OC,2026-09-08T20:28:00,0.337,12.9,0.08,1.61,0.401,20.34,28.3,51.1,1.37,1
Moonidih,2026-09-09T00:35:00,0.354,12.8,0.79,0.61,0.384,20.26,33.4,62.7,1.53,2
Jayant OC,2026-09-09T22:17:00,0.388,18.4,1.02,1.18,0.342,21,33.1,49.1,1.51,2
Jayant OC,2026-09-07T10:59:00,0.513,0,0.51,1.31,0.232,21,19.8,63.9,1.92,1
Rajmahal OC,2026-09-08T11:21:00,0.209,8.0,0.52,0.69,0.212,19.86,25.2,72.2,0.85,1
Rajmahal OC,2026-09-08T22:58:00,0.312,4.1,1.05,0.47,0.473,20.46,22.2,78.2,0.91,1
Jayant OC,2026-09-02T14:06:00,0.37,3.5,0.79,1.28,0.146,20.36,28.0,51.6,1.48,1
Rajmahal OC,2026-09-02T10:54:00,0.322,7.6,0.87,1.44,0.439,20.46,28.6,57.3,0.92,1
Rajmahal OC,2026-09-05T07:47:00,0.194,5.5,0.68,0.67,0.234,20.59,27.2,77.8,1.97,1
Churcha RO,2026-09-06T13:09:00,0.238,8.7,0.09,0.2,0.256,20.77,29.0,63.3,1.69,0
Adriyala Shaft,2026-09-03T07:29:00,0.18,2.9,0.42,0.86,0.341,21,31.9,59.6,1.09,0
Bhatdih,2026-09-07T22:16:00,0.085,9.5,0.77,0.53,0.371,21,36.6,75.8,2.17,1
Bhubaneswari OC,2026-09-05T00:53:00,0.29,9.5,0.33,0.46,0.476,20.55,33.2,37.0,0.36,1
Jayant OC,2026-09-06T07:40:00,0.27,13.1,0.31,0.19,0.53,20.71,19.3,65.4,1.18,1
Adriyala Shaft,2026-09-05T14:02:00,0.562,3.6,0.19,0.69,0.256,20.87,23.2,76.8,0.84,1
Kenduadih,2026-09-05T05:16:00,0.247,9.6,0.72,0.61,0.342,20.67,29.9,45.1,0.87,1
Bhubaneswari OC,2026-09-07T17:23:00,0.432,11.3,0.45,1.3,0.269,20.31,28.3,65.2,0.93,1
Churcha RO,2026-09-04T15:01:00,0.306,7.4,0.18,0.7,0.33,19.84,21.6,55.6,1.86,1
Kenduadih,2026-09-07T03:08:00,0.274,11.8,0.24,1.04,0.364,21,30.9,72.1,1.13,1
Moonidih,2026-09-07T18:47:00,0.421,6.9,0.36,0.81,0.441,20.32,22.3,69.3,1.42,1
Jhanjra UG,2026-09-08T07:54:00,0,12.4,0.21,1.08,0.28,20.88,26.8,62.4,0.98,0
Gevra OC,2026-09-04T20:40:00,0.485,11.6,0,0.5,0.336,20.89,28.8,69.7,2.01,1
Kenduadih,2026-09-04T07:21:00,0.165,9.3,0.48,0.2,0.659,20.58,25.4,71.1,0.61,1
Jhanjra UG,2026-09-06T07:37:00,0.349,2.8,0.35,1.93,0.524,20.45,28.6,60.4,1.78,1
Gevra OC,2026-09-02T14:32:00,0.241,11.1,0.52,1.09,0.475,20.64,28.9,56.0,1.74,1
Adriyala Shaft,2026-09-02T15:45:00,0.342,7.6,0.62,0.01,0.29,20.43,29.4,64.2,0.7,1
Bhubaneswari OC,2026-09-09T09:29:00,0.32,9.5,0.55,0.69,0.377,20.39,33.6,56.5,1.29,1
Rajmahal OC,2026-09-06T14:25:00,0.246,6.9,0.32,0.05,0.3,19.8,27.5,58.2,0.95,1
Jayant OC,2026-09-02T02:27:00,0.332,7.6,0.24,0.68,0.471,21,26.2,60.7,1.56,1
Churcha RO,2026-09-07T23:03:00,0.295,4.1,0.57,0.9,0.524,20.33,26.0,56.0,2.83,1
Bhatdih,2026-09-06T03:48:00,0.045,5.0,0.34,0.56,0.367,20.3,25.6,80.0,2.47,0
Bhatdih,2026-09-05T00:11:00,0.057,4.7,0.96,0,0.457,19.87,27.4,63.2,2.86,1
Bhatdih,2026-09-01T02:47:00,0.178,7.0,0.25,0.78,0.409,20.94,24.2,60.5,1.76,0
Rajmahal OC,2026-09-01T21:05:00,0.334,12.1,0.34,1.12,0.369,19.65,26.5,63.3,1.94,1
Bhatdih,2026-09-08T16:42:00,0.328,4.1,0.61,0.48,0.336,20.63,32.7,62.3,1.82,1
Bhatdih,2026-09-07T05:08:00,0.444,9.1,0.47,0.77,0.378,20.83,30.0,70.8,1.45,1
Jayant OC,2026-09-08T02:55:00,0.316,5.2,0.46,0.25,0.346,20.19,31.2,64.5,0.64,1
Gevra OC,2026-09-06T02:27:00,0.126,5.6,0.42,0.4,0.415,20.57,24.7,81.0,0.39,0
Churcha RO,2026-09-09T20:07:00,0.108,8.2,0.9,0.4,0.385,20.33,31.4,62.0,1.92,1
Rajmahal OC,2026-09-02T05:49:00,0,7.5,0.22,1.32,0.477,19.67,28.2,70.6,1.85,1
Bhubaneswari OC,2026-09-06T04:28:00,0.493,3.0,0.59,0.27,0.328,21,24.1,73.8,1.44,1
Churcha RO,2026-09-02T19:38:00,0.092,9.1,0.62,0.29,0.377,20.66,26.9,65.7,1.05,1
Rajmahal OC,2026-09-08T16:09:00,0.391,4.1,0.76,1.43,0.354,21,30.2,59.2,1.28,1
Moonidih,2026-09-03T11:23:00,0.039,10.2,0.94,0,0.524,20.86,34.1,68.8,2.47,1
Bhatdih,2026-09-07T09:16:00,0.29,2.8,0.84,0.74,0.37,20.19,25.4,58.9,2.4,1
Kenduadih,2026-09-05T17:24:00,0.394,5.4,0.36,0.69,0.246,21,26.7,55.5,0,1
Gevra OC,2026-09-06T00:23:00,0.101,10.3,0.09,1.11,0.256,20.26,23.5,58.6,0.83,0
Bhatdih,2026-09-09T01:42:00,0.344,10.5,0.83,0.65,0.408,20.77,34.8,74.0,2.61,1
Gevra OC,2026-09-08T01:26:00,0.453,12.0,0.21,0.61,0.367,20.82,33.6,49.7,0.28,1
Gevra OC,2026-09-04T11:43:00,0.251,5.4,0.27,0.91,0.399,19.95,24.6,63.2,1.82,1
Kenduadih,2026-09-03T08:03:00,0.143,12.4,0.47,0.72,0.496,19.22,26.2,72.3,0.19,1
Bhubaneswari OC,2026-09-07T02:58:00,0.434,4.4,0.96,1.26,0.449,20.17,28.3,57.0,1.87,1
Adriyala Shaft,2026-09-04T00:20:00,0.253,11.4,0,1.18,0.356,20.11,30.3,61.9,1.72,1
Churcha RO,2026-09-01T02:01:00,0.416,3.1,0.54,0.59,0.357,21,27.3,59.8,1.26,1
Bhatdih,2026-09-04T13:40:00,0.143,8.5,0.67,1.31,0.35,19.73,31.2,65.4,1.91,1
Kenduadih,2026-09-04T18:26:00,0.23,8.5,0.83,0.5,0.52,20.56,28.1,70.6,0.5,1
Jhanjra UG,2026-09-07T15:02:00,0.389,7.1,0.39,0.95,0.394,19.91,27.2,77.7,1.43,1
Jayant OC,2026-09-01T11:34:00,0.414,7.6,1.03,0.87,0.309,21,23.2,52.6,1.43,1
Gevra OC,2026-09-08T01:18:00,0.166,9.0,0.33,0.88,0.29,20.26,22.7,66.4,1.23,1
Adriyala Shaft,2026-09-06T01:55:00,0.396,8.7,1.17,1.04,0.101,20.35,25.1,63.0,1.51,2
Gevra OC,2026-09-08T11:59:00,0.202,7.0,1.03,0.43,0.439,19.34,31.7,61.6,1.94,2
Rajmahal OC,2026-09-08T19:45:00,0.293,9.7,0.22,0.99,0.463,20.49,27.5,69.5,1.19,1
Jayant OC,2026-09-01T02:42:00,0.411,10.2,0.78,0.19,0.453,21,25.1,51.9,1.95,1
Jayant OC,2026-09-06T11:24:00,0.124,13.4,0.18,0,0.485,21,28.2,62.4,2.77,0
Kenduadih,2026-09-06T20:17:00,0.407,10.3,0.53,0.43,0.43,20.31,28.6,71.2,2.08,1
Adriyala Shaft,2026-09-08T06:07:00,0.333,7.8,0.64,1.24,0.443,20.37,29.0,49.6,1.74,1
Jhanjra UG,2026-09-06T22:04:00,0.501,10.6,0.24,1.15,0.335,21,31.2,70.0,0.92,1
Rajmahal OC,2026-09-03T07:50:00,0,5.8,0.78,0.29,0.528,20.19,29.3,53.5,1.89,1
Bhubaneswari OC,2026-09-08T16:26:00,0.369,13.0,0.56,0.31,0.532,19.85,26.2,72.4,1.85,2
Jayant OC,2026-09-03T04:27:00,0.326,6.6,0.92,0.7,0.256,20.73,23.4,82.0,1.72,1
Rajmahal OC,2026-09-09T09:54:00,0.09,9.1,0.45,0.96,0.441,20.73,31.0,62.7,0.79,1
Churcha RO,2026-09-06T18:02:00,0.299,13.7,0.35,0.74,0.36,21,25.6,64.9,1.93,1
Moonidih,2026-09-09T09:41:00,0.269,16.5,0.86,0.84,0.322,20.66,33.1,63.2,1.37,2
Bhatdih,2026-09-06T22:20:00,0.03,8.8,0.4,0.49,0.432,20.58,23.7,69.3,1.81,0
Gevra OC,2026-09-02T01:18:00,0.496,10.1,0.48,0.45,0.493,20.26,32.1,64.2,2.1,1
Jayant OC,2026-09-08T15:56:00,0.403,4.9,1.13,0.6,0.49,19.43,27.5,58.6,2.93,2
Bhatdih,2026-09-08T09:34:00,0.719,6.3,0.5,0.45,0.469,20.54,33.3,72.8,1.7,2
Moonidih,2026-09-02T12:32:00,0.391,4.5,0.86,0.37,0.408,20.02,23.8,72.6,1.85,1
Bhubaneswari OC,2026-09-06T17:23:00,0.479,8.3,0.26,1.4,0.39,21,35.4,51.0,2.38,1
Jhanjra UG,2026-09-06T19:20:00,0.356,12.5,0.41,0.8,0.459,20.84,23.6,66.8,0.74,1
Jhanjra UG,2026-09-08T00:23:00,0.188,3.7,0.76,1.1,0.288,19.9,27.8,52.2,1.57,1
Gevra OC,2026-09-04T23:03:00,0.107,0,0.04,0.44,0.376,19.75,32.5,66.9,2.87,0
Kenduadih,2026-09-02T06:01:00,0.246,3.2,0.54,0.68,0.23,19.82,33.1,65.6,2.54,1
Bhubaneswari OC,2026-09-04T17:20:00,0.267,10.1,0.39,0.42,0.435,19.39,32.6,53.3,1.9,1
Bhubaneswari OC,2026-09-05T19:30:00,0.331,4.6,0.46,1.21,0.595,20.24,31.1,67.2,0.23,1
Adriyala Shaft,2026-09-09T23:17:00,0.417,7.1,0.29,1.71,0.571,20.4,26.3,50.3,0.59,1
Bhatdih,2026-09-05T22:05:00,0.312,12.3,0.81,0,0.592,21,19.0,67.8,0.88,1
Gevra OC,2026-09-04T07:03:00,0.495,5.3,0.5,0.52,0.437,20.15,25.1,62.0,2.52,1
Rajmahal OC,2026-09-03T13:41:00,0.456,8.4,0.72,1.09,0.453,19.76,29.0,81.8,3.07,2
Bhubaneswari OC,2026-09-01T05:26:00,0.201,8.4,0.76,0.72,0.267,19.63,32.4,72.0,0.25,1
Jhanjra UG,2026-09-01T00:19:00,0.247,9.0,0.47,1.16,0.249,20.82,34.1,70.7,1.02,1
Kenduadih,2026-09-02T10:10:00,0.025,2.5,0.33,1.18,0.323,20.03,29.6,61.6,0.86,0
Bhubaneswari OC,2026-09-07T13:32:00,0.297,4.2,0.12,1.16,0.408,20.29,33.8,69.8,2.53,1
Gevra OC,2026-09-05T18:46:00,0.491,11.1,0.57,1.0,0.366,20.84,27.8,72.3,1.55,1
Kenduadih,2026-09-05T22:07:00,0,13.8,0.53,0.75,0.366,20.82,30.3,55.2,2.03,1
Bhatdih,2026-09-04T07:43:00,0.229,10.1,0.83,0.68,0.112,20.92,23.6,76.1,2.65,1
Kenduadih,2026-09-09T06:36:00,0.169,9.2,0.41,0.21,0.451,21,30.4,76.7,1.88,1
Rajmahal OC,2026-09-09T13:29:00,0.379,10.9,0.35,0.77,0.437,21,32.0,71.5,1.82,1
Kenduadih,2026-09-01T13:22:00,0.146,12.2,0.62,1.02,0.25,19.77,32.5,64.7,0.45,1
Churcha RO,2026-09-07T11:57:00,0.249,7.6,1.19,0.08,0.319,20.57,28.9,69.9,0.69,1
Jayant OC,2026-09-02T05:34:00,0.112,0,0.71,0.68,0.428,21,26.2,78.3,2.68,0
Jayant OC,2026-09-04T14:22:00,0.062,6.8,0.5,0.83,0.483,20.56,25.7,53.9,0.04,0
Jhanjra UG,2026-09-01T07:13:00,0.244,6.5,1.2,0.77,0.352,20.69,24.1,67.1,0,1
Churcha RO,2026-09-01T04:32:00,0.332,8.6,0.12,0.44,0.557,20.75,25.6,69.2,1.83,1
Bhatdih,2026-09-09T07:26:00,0.593,8.9,1.17,0.33,0.34,20.63,20.7,66.7,3.13,2
Bhatdih,2026-09-07T16:20:00,0.27,13.0,0.09,0.44,0.468,21,26.8,63.9,0.86,1
Jayant OC,2026-09-08T01:35:00,0.479,5.2,0.64,1.0,0.514,20.52,30.9,68.5,1.15,1
Jayant OC,2026-09-04T01:17:00,0.488,7.0,0.65,1.02,0.442,21,34.8,55.9,2.57,1
Jayant OC,2026-09-06T09:58:00,0.432,5.5,0.14,0.98,0.354,20.56,21.6,54.3,1.17,1
Moonidih,2026-09-06T09:24:00,0.323,10.5,0.47,0.14,0.406,19.39,25.9,50.3,1.03,1
Bhubaneswari OC,2026-09-06T06:23:00,0.367,4.3,0.44,0.77,0.52,20.27,28.0,76.2,1.39,1
Gevra OC,2026-09-07T18:53:00,0.135,10.6,0.53,1.02,0.384,21,24.3,60.0,1.91,1
Adriyala Shaft,2026-09-03T23:50:00,0.41,2.2,0.5,0.68,0.329,21,18.6,57.7,0.78,0
Gevra OC,2026-09-01T00:26:00,0.416,13.6,0,0.87,0.262,20.31,29.0,65.9,2.6,1
Jhanjra UG,2026-09-08T21:31:00,0.003,9.6,0.32,0.79,0.387,20.02,27.9,54.1,0.7,1
Moonidih,2026-09-03T03:58:00,0.49,8.2,0.87,0.84,0.357,21,35.3,67.0,0.83,1
Churcha RO,2026-09-08T18:15:00,0.059,5.1,0.47,0.58,0.348,19.96,33.6,87.2,2.46,1
Adriyala Shaft,2026-09-03T02:31:00,0.213,15.1,1.31,1.4,0.385,20.4,24.8,70.5,0.37,2
Jayant OC,2026-09-08T08:02:00,0.332,5.8,0.29,1.87,0.362,21,22.5,67.7,3.21,0
Churcha RO,2026-09-07T02:19:00,0.251,5.0,0.08,0.64,0.484,21,30.7,65.7,2.42,0
Jhanjra UG,2026-09-02T16:47:00,0.519,3.2,0.35,1.15,0.278,20.02,27.0,63.9,0.09,1
Gevra OC,2026-09-08T15:14:00,0.452,9.4,0.64,0.49,0.43,19.26,22.5,75.4,2.13,2
Gevra OC,2026-09-02T02:17:00,0.322,4.3,0.4,1.01,0.522,19.87,32.7,62.9,2.08,1
Jhanjra UG,2026-09-02T05:27:00,0.109,12.8,0.67,1.13,0.372,20.67,32.1,61.2,1.53,1
Bhubaneswari OC,2026-09-01T09:26:00,0.231,3.5,0.37,0.94,0.426,19.86,26.2,69.3,0,1
Jayant OC,2026-09-03T02:10:00,0.344,1.7,0,0.34,0.406,21,27.0,59.4,1.42,0
Jayant OC,2026-09-08T03:08:00,0.418,7.5,0.75,0.88,0.307,21,25.8,51.2,1.53,1
Bhatdih,2026-09-05T10:38:00,0.45,8.2,0.66,0.47,0.47,20.09,21.2,72.9,0.87,1
Adriyala Shaft,2026-09-06T12:17:00,0.136,5.5,0.52,0.52,0.452,20.43,22.4,82.1,1.22,1
Jayant OC,2026-09-05T22:04:00,0.07,15.0,0.82,2.11,0.473,21,34.4,67.7,2.01,1
Jayant OC,2026-09-08T18:25:00,0.264,7.0,0.35,0.7,0.472,20.8,31.5,57.2,2.11,1
Rajmahal OC,2026-09-04T21:42:00,0,7.6,0.37,0.33,0.424,20.04,31.9,57.4,1.28,1
Gevra OC,2026-09-02T00:06:00,0.252,10.8,0.86,0.27,0.344,19.71,19.7,56.3,2.74,1
Bhatdih,2026-09-01T15:06:00,0.344,14.5,0.07,0.58,0.418,20.98,22.1,68.5,1.33,1
Bhatdih,2026-09-08T11:30:00,0.22,0,0.89,1.51,0.558,20.77,30.7,58.5,1.65,1
Churcha RO,2026-09-04T16:11:00,0.086,10.3,0.39,1.11,0.418,20.27,31.4,53.3,1.29,1
Rajmahal OC,2026-09-01T23:39:00,0.219,10.7,0.82,1.08,0.381,20.24,29.4,58.2,0.84,1
Adriyala Shaft,2026-09-06T10:12:00,0.149,9.3,0.71,0.81,0.372,21,29.5,52.4,1.8,1
Bhubaneswari OC,2026-09-06T14:39:00,0.123,12.5,0.79,0,0.417,20.31,31.7,61.2,1.75,1
Jhanjra UG,2026-09-09T12:26:00,0.392,2.2,0.38,1.33,0.446,20.64,30.5,70.8,2.0,1
Kenduadih,2026-09-08T09:08:00,0.511,10.5,0.72,1.02,0.531,20.25,22.6,77.7,1.5,2
Jhanjra UG,2026-09-08T13:45:00,0.235,12.0,0.77,0.92,0.454,20.52,32.1,41.4,0.57,1
Bhubaneswari OC,2026-09-08T18:47:00,0.294,6.3,0.51,1.46,0.433,20.4,31.1,59.1,1.39,1
Bhubaneswari OC,2026-09-07T03:47:00,0.23,7.4,0.89,1.25,0.442,20.07,28.5,62.4,1.31,1
Adriyala Shaft,2026-09-04T06:51:00,0.115,3.5,1.59,0.45,0.429,20.72,24.1,82.3,1.45,1
Kenduadih,2026-09-09T05:20:00,0.189,0.6,0.26,0.53,0.269,19.92,30.8,48.3,0.61,1
Bhatdih,2026-09-01T08:55:00,0.221,7.2,0.73,1.53,0.174,20.4,26.4,82.1,1.17,1
Jhanjra UG,2026-09-07T14:04:00,0.276,6.0,0.66,1.08,0.403,21,26.3,68.5,0.74,1
Churcha RO,2026-09-02T23:29:00,0.144,2.5,0.79,0.52,0.207,19.94,29.3,47.5,0.71,1
Gevra OC,2026-09-08T10:57:00,0.457,2.2,0,1.43,0.453,19.98,26.6,72.3,1.1,1
Moonidih,2026-09-07T06:44:00,0.277,13.4,0.62,0.84,0.385,20.76,27.0,35.1,2.17,1
Jhanjra UG,2026-09-05T23:44:00,0.394,5.7,0.93,0.22,0.479,20.76,33.1,72.3,1.35,1
Adriyala Shaft,2026-09-01T22:21:00,0.261,6.4,0.56,1.03,0.439,21,30.5,54.2,1.39,1
Churcha RO,2026-09-03T20:43:00,0.457,7.7,0.58,0.91,0.28,21,30.8,70.2,1.82,1
Jhanjra UG,2026-09-08T06:05:00,0.245,12.7,0.66,0.62,0.362,20.29,30.2,64.8,0,1
Churcha RO,2026-09-05T22:01:00,0.349,9.6,0.47,0.43,0.24,20.88,28.1,79.4,1.51,1
Bhatdih,2026-09-07T03:15:00,0.503,9.5,0.89,0.95,0.492,19.97,22.4,67.0,0.93,2
Bhubaneswari OC,2026-09-03T15:49:00,0.263,6.8,0.54,0.76,0.344,20.83,22.2,77.5,0.62,1
Churcha RO,2026-09-09T13:27:00,0.39,9.5,0.51,0.79,0.428,21,30.6,50.9,1.45,1
Jayant OC,2026-09-02T09:44:00,0.462,10.5,0.32,0.59,0.356,21,30.1,82.4,0.72,1
Jayant OC,2026-09-03T03:00:00,0.266,7.0,0,0.96,0.415,20.0,29.8,58.3,1.07,1
Jhanjra UG,2026-09-02T00:21:00,0.273,5.7,0.85,0.66,0.433,19.72,29.0,69.5,1.62,1
Jayant OC,2026-09-03T11:10:00,0.184,7.8,0.61,0.68,0.273,20.99,30.1,57.5,2.22,1
Bhatdih,2026-09-03T05:59:00,0.346,0,0.43,0.62,0.4,20.46,28.4,63.8,2.23,1
Moonidih,2026-09-02T18:23:00,0.341,0,0.28,0.78,0.296,20.27,31.7,63.5,0.87,1
Churcha RO,2026-09-06T02:35:00,0,7.9,0.73,1.45,0.647,20.36,32.1,69.7,1.19,1
Bhubaneswari OC,2026-09-04T23:57:00,0.584,10.7,0.51,0.49,0.367,20.1,24.9,55.2,0.99,2
Rajmahal OC,2026-09-07T23:46:00,0.307,5.0,0.81,0.82,0.41,20.96,32.4,47.7,1.54,1
Bhatdih,2026-09-04T16:26:00,0.298,11.9,0.72,0.83,0.516,21,33.0,63.9,1.16,1
Gevra OC,2026-09-05T08:54:00,0.059,9.7,0.19,0.57,0.335,20.12,26.8,63.0,1.28,1
Gevra OC,2026-09-02T04:06:00,0.232,11.6,0.37,0.97,0.323,20.15,28.9,70.1,1.35,1
Jhanjra UG,2026-09-05T22:44:00,0.176,9.1,0.71,1.06,0.414,19.96,20.4,69.5,2.72,1
Kenduadih,2026-09-05T05:01:00,0.447,15.4,0.64,0.72,0.439,20.51,31.8,50.0,1.4,2
Jayant OC,2026-09-04T12:23:00,0.417,4.0,0.37,0.74,0.543,21,29.0,67.5,1.61,1
